title,company,location,link,logo,search_keywords,search_location
AI Engineer Intern – Product Support,SITA,"Paris, Île-de-France, France",https://fr.linkedin.com/jobs/view/ai-engineer-intern-%E2%80%93-product-support-at-sita-4317821248,https://media.licdn.com/dms/image/v2/D4E0BAQEct2bplOS3Uw/company-logo_100_100/company-logo_100_100/0/1713242143215/sita_logo?e=2147483647&v=beta&t=-LX3bXxbUr6yY93vt-_FgHfTZvIJ4FCWggo6WjTR1Yg,data engineering internship,France
Data Analyst Intern (Jan'26),AXA Investment Managers,"Puteaux, Île-de-France, France",https://fr.linkedin.com/jobs/view/data-analyst-intern-jan-26-at-axa-investment-managers-4317014331,https://media.licdn.com/dms/image/v2/D4E0BAQH0MhhhRzbvWQ/company-logo_100_100/company-logo_100_100/0/1688550115006/axa_investment_managers_logo?e=2147483647&v=beta&t=Hh-o4wdycFjw6NJggwHgU3LRLy9DT7U1V72Ss0bnL3Y,data engineering internship,France
Quantitative Developer Intern,Tower Research Capital,"Paris, Île-de-France, France",https://fr.linkedin.com/jobs/view/quantitative-developer-intern-at-tower-research-capital-4257716188,https://media.licdn.com/dms/image/v2/D560BAQH9QThxrRsKZQ/company-logo_100_100/company-logo_100_100/0/1725920289397/tower_research_capital_logo?e=2147483647&v=beta&t=zP8rmhTpOcnUVZVDf2udD9xmEKiLPveVZH6cG4kbs6g,data engineering internship,France
"Data Analyst, Human Resources (Internship, 6months)",DNA Script,"Le Kremlin-Bicêtre, Île-de-France, France",https://fr.linkedin.com/jobs/view/data-analyst-human-resources-internship-6months-at-dna-script-4278918945,https://media.licdn.com/dms/image/v2/C4D0BAQHZNGB6OgaHhA/company-logo_100_100/company-logo_100_100/0/1630568069261/dna_script_logo?e=2147483647&v=beta&t=GCV2wGvEUhESwJ1IrYvQWqh_PzjQAu4DgCzOBhEnWk0,data engineering internship,France
Product Engineer (Internship),Greenly | Certified B Corp,"Paris, Île-de-France, France",https://fr.linkedin.com/jobs/view/product-engineer-internship-at-greenly-certified-b-corp-4304053893,https://media.licdn.com/dms/image/v2/D560BAQFsqDKQbiz2qg/company-logo_100_100/B56Zku6v7OKAAQ-/0/1757428777760/greenly_earth_logo?e=2147483647&v=beta&t=Xw4qlhccIO_P4B5nDcKkFh9dgueRuX-b7eUu-aeNiOw,data engineering internship,France
Data Analyst Intern – Business Performance - Internship,Free2move,"Paris, Île-de-France, France",https://fr.linkedin.com/jobs/view/data-analyst-intern-%E2%80%93-business-performance-internship-at-free2move-4307344084,https://media.licdn.com/dms/image/v2/D4E0BAQFhX56QEAsHPw/company-logo_100_100/company-logo_100_100/0/1695888669884/free2move_logo?e=2147483647&v=beta&t=EQVCCp67OEZ66cOAuRFUxprXZDrfFoF9-8BhaRe2220,data engineering internship,France
Stage – Data Scientist,Quinten Health,"Paris, Île-de-France, France",https://fr.linkedin.com/jobs/view/stage-%E2%80%93-data-scientist-at-quinten-health-4305676490,https://media.licdn.com/dms/image/v2/D4E0BAQHy48H_kr8CLQ/company-logo_100_100/B4EZjsLPTPGoAU-/0/1756309027905/quinten_health_logo?e=2147483647&v=beta&t=v465Wunbn87GKcMeLwPeWLdpsSc72ettda1OH9Qm6Vs,data engineering internship,France
Founders' Associate (Engineering Internship),Greenly | Certified B Corp,"Paris, Île-de-France, France",https://fr.linkedin.com/jobs/view/founders-associate-engineering-internship-at-greenly-certified-b-corp-4307941701,https://media.licdn.com/dms/image/v2/D560BAQFsqDKQbiz2qg/company-logo_100_100/B56Zku6v7OKAAQ-/0/1757428777760/greenly_earth_logo?e=2147483647&v=beta&t=Xw4qlhccIO_P4B5nDcKkFh9dgueRuX-b7eUu-aeNiOw,data engineering internship,France
Business Intelligence Analyst Intern (F/M/X),Solvay,"Aubervilliers, Île-de-France, France",https://fr.linkedin.com/jobs/view/business-intelligence-analyst-intern-f-m-x-at-solvay-4315081544,https://media.licdn.com/dms/image/v2/D4E0BAQHDmC8QNGQzeQ/company-logo_100_100/B4EZfF82i3GcAY-/0/1751372753391/solvay_logo?e=2147483647&v=beta&t=dXmdetN-KbWzGQ1xMTb9zK-9UPkbDWtiNDhGsZExTIc,data engineering internship,France
Assistant Chef de Projet SI Europe F/H - STAGE,Christian Dior Couture,"Paris, Île-de-France, France",https://fr.linkedin.com/jobs/view/assistant-chef-de-projet-si-europe-f-h-stage-at-christian-dior-couture-4312356190,https://media.licdn.com/dms/image/v2/C4D0BAQFf1jQWl-iyPw/company-logo_100_100/company-logo_100_100/0/1630535198645/christian_dior_couture_logo?e=2147483647&v=beta&t=40qhzX8KnRVLYh_sysEitXvrAMWNS5pB5mGezzSTFTI,data engineering internship,France
6-month Internship – Full stack development – January/March 2026,L'Oréal,"St.-Ouen, Île-de-France, France",https://fr.linkedin.com/jobs/view/6-month-internship-%E2%80%93-full-stack-development-%E2%80%93-january-march-2026-at-l-or%C3%A9al-4315097932,https://media.licdn.com/dms/image/v2/D4E0BAQFEB_g-FWxSrQ/company-logo_100_100/company-logo_100_100/0/1688397792617/loral_logo?e=2147483647&v=beta&t=uaVbqC1juHcoWguipnV67wRtYlmlKirBnL8NgSIHnyU,data engineering internship,France
CEO Founder Associate Intern,Alan,"Paris, Île-de-France, France",https://fr.linkedin.com/jobs/view/ceo-founder-associate-intern-at-alan-4209642535,https://media.licdn.com/dms/image/v2/D4D0BAQHC5r2QBWDy8w/company-logo_100_100/company-logo_100_100/0/1667470432110/avec_alan_logo?e=2147483647&v=beta&t=uJFnYU0Yb4LqHVpU5oMOcedSfP-SEbhKsOk5s5iPA1Y,data engineering internship,France
Computational Design Intern – SDIC (F/M),Samsung Electronics France,"Paris, Île-de-France, France",https://fr.linkedin.com/jobs/view/computational-design-intern-%E2%80%93-sdic-f-m-at-samsung-electronics-france-4308026452,https://media.licdn.com/dms/image/v2/D4E0BAQGhPbi42ky3sQ/company-logo_100_100/company-logo_100_100/0/1690535122182/samsung_electronics_france_logo?e=2147483647&v=beta&t=gXFyj70dAjV4ALk84zXhN3pVlLO755neZL_6mU8dIaY,data engineering internship,France
